po___so_#,asn_dn_#,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,po_sent_to_vendor_date,product_group,sub_classification,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,days_to_process,cost_per_pack,freight_ratio,cost_per_kg
1982,3303,9,2,0,2,0,895,3,2,54,15,30,19.0,551.0,29.0,0.97,76,1,13.0,780.34,47.04,,27.55,1.4136594202898551,39.357142857142854
336,3365,40,2,0,2,0,895,2,5,2,8,240,1000.0,6200.0,6.2,0.03,11,1,358.0,4521.5,47.04,,6.193806193806194,0.7291565876471536,17.270194986072422
1058,538,9,2,0,3,0,895,3,2,54,15,100,500.0,40000.0,80.0,0.8,5,1,171.0,1653.78,47.04,,79.84031936127745,0.04134346641333966,232.5581395348837
2616,2796,40,2,0,2,0,895,2,1,13,10,60,31920.0,127360.8,3.99,0.07,79,1,1855.0,16007.06,47.04,,3.9898750039159174,0.12568179783891245,68.62112068965517
2631,2896,40,2,0,2,0,895,2,1,34,0,60,38000.0,121600.0,3.2,0.05,11,1,7590.0,45450.08,47.04,,3.1999157916896923,0.37376403154579324,16.018969832696616
2702,2927,28,2,0,2,0,895,2,5,2,7,240,416.0,2225.6,5.35,0.02,11,1,504.0,5920.42,47.04,,5.337170263788969,2.658950866792419,4.407128712871287
437,409,41,2,0,5,0,895,2,5,19,0,90,135.0,4374.0,32.4,0.36,54,1,328.0,0.0,47.04,,32.161764705882355,0.0,13.29483282674772
442,3489,37,2,0,2,0,895,2,1,19,10,60,16667.0,60834.55,3.65,0.06,11,1,1478.0,6212.41,47.04,,3.6497810175185985,0.10211808720394572,41.13221771467208
620,3479,28,2,0,2,0,895,2,1,34,0,60,273.0,532.35,1.95,0.03,11,0,1047.0,3549.77,47.04,,1.9428832116788322,6.655610762163682,0.5079675572519085
708,1174,41,2,0,0,0,157,2,1,18,10,120,2800.0,115080.0,41.1,0.34,4,1,643.0,0.0,47.04,,41.08532666904677,0.0,178.69565217391303
1239,1401,41,2,0,0,0,223,2,1,18,10,120,2800.0,115080.0,41.1,0.34,7,1,643.0,0.0,47.04,,41.08532666904677,0.0,178.69565217391303
1272,504,41,2,0,2,0,895,3,2,54,15,20,2500.0,100000.0,40.0,2.0,85,1,853.0,13569.49,47.04,,39.98400639744102,0.13569354306456935,117.096018735363
1316,579,28,2,0,2,0,895,3,2,54,15,100,10.0,850.0,85.0,0.85,26,1,1047.0,0.0,47.04,,77.27272727272727,0.0,0.8110687022900763
1723,1591,30,2,0,2,0,255,2,1,10,11,60,10000.0,99800.0,9.98,0.17,23,1,7416.0,62641.4514000001,47.04,,9.979002099790021,0.643073917095019,13.455575030335716
1766,796,16,2,0,2,0,895,3,2,54,15,100,750.0,60000.0,80.0,0.8,5,1,256.0,1760.32,47.04,,79.89347536617844,0.029338177697038382,233.46303501945525
1891,2047,42,2,0,0,0,0,2,5,19,10,60,579.0,14764.5,25.5,0.42,15,1,1047.0,0.0,47.04,,25.45603448275862,0.0,14.088263358778626
1938,2995,28,2,0,0,0,895,3,2,54,15,100,1500.0,120000.0,80.0,0.8,5,1,1047.0,0.0,192.0,,79.94670219853431,0.0,114.50381679389314
2172,2159,30,2,0,2,0,895,3,2,54,15,30,2000.0,33000.0,16.5,0.55,74,1,710.0,3120.7,47.04,,16.49175412293853,0.09456380109693645,46.413502109704645
2325,2629,37,2,0,0,0,450,2,5,24,9,200,712.0,8964.08,12.59,0.06,15,1,162.0,912.96,47.04,,12.57234221598878,0.10183512026663455,54.99435582822086
2387,2773,28,2,0,2,0,522,3,2,54,15,100,1000.0,80000.0,80.0,0.8,5,1,341.0,2682.47,128.0,,79.92007992007991,0.03353045586930163,233.91812865497076
2352,2708,28,2,0,2,0,535,3,2,54,15,20,7500.0,202500.0,27.0,1.35,21,1,2278.0,15893.71,47.04,,26.996400479936007,0.07848706919965827,88.85476086002633
2529,3191,9,2,0,0,0,681,2,5,19,10,60,5513.0,140581.5,25.5,0.42,15,1,2126.0,0.0,224.93,,25.49537540805223,0.0,66.0937940761636
2565,3287,40,2,0,2,0,742,2,5,2,8,240,1000.0,1920.0,1.92,0.01,11,1,941.0,4193.49,3.07,,1.9180819180819182,2.182972410203019,2.038216560509554
2591,3046,40,2,0,3,0,742,2,1,18,10,120,500.0,41095.0,82.19,0.68,7,1,117.0,1767.38,65.75,,82.02594810379242,0.04300613198364805,348.26271186440675
19,3039,16,2,0,2,0,719,3,2,54,15,100,750.0,53992.5,71.99,0.72,44,1,171.0,3518.38,86.39,,71.89414114513981,0.06516302888310631,313.9098837209302
25,3010,16,2,0,2,0,719,3,2,54,15,100,25.0,8750.0,139.0,3.5,73,1,60.0,3097.85,14.0,,135.83485039550783,0.3539995429093818,143.44262295081967
31,3157,37,2,0,2,0,895,3,2,54,15,25,10000.0,200000.0,20.0,0.8,83,1,3335.0,27869.74,320.0,,19.99800019998,0.1393480032599837,59.95203836930455
33,3295,37,2,0,2,0,895,3,2,54,15,25,10000.0,200000.0,20.0,0.8,83,1,3335.0,28461.1,320.0,,19.99800019998,0.14230478847605763,59.95203836930455
35,3373,37,2,0,2,0,895,3,2,54,15,25,10000.0,200000.0,20.0,0.8,83,1,3335.0,28359.8,320.0,,19.99800019998,0.14179829100854496,59.95203836930455
180,3454,11,2,0,2,0,125,2,1,34,0,60,64000.0,99200.0,1.55,0.03,11,1,4228.0,12237.61,158.72,,1.549975781628412,0.12336176046612433,23.45708205249468
232,3225,28,2,0,2,0,808,3,2,54,15,20,10000.0,270000.0,27.0,1.35,21,1,3263.0,20885.78,432.0,,26.997300269973003,0.07735445424276206,82.72058823529412
446,347,33,2,0,1,0,154,2,5,2,7,200,40.0,317.6,7.94,0.04,32,1,1047.0,0.0,0.51,,7.746341463414635,0.0,0.30305343511450383
460,258,40,2,0,2,0,174,2,1,33,10,30,1000.0,17000.0,17.0,0.57,35,1,76.0,2282.57,27.2,,16.983016983016984,0.13426092582789248,220.7792207792208
461,226,40,2,0,2,0,184,2,1,33,10,60,400.0,3352.0,8.38,0.14,79,1,23.0,2149.05,5.36,,8.359102244389028,0.6409334923948703,139.66666666666666
500,349,30,2,0,2,0,225,3,3,54,16,100,1500.0,15.876800000000001,0.39,0.01,44,1,99.0,0.75,0.02,,0.3899861945163401,0.046875,0.15
614,366,28,2,0,2,0,895,3,3,54,16,100,650.0,15.876800000000001,0.39,0.01,44,1,1047.0,0.0,0.02,,0.3899861945163401,0.0,0.01914715055030734
710,656,33,2,0,1,0,59,2,5,15,9,200,200.0,340.0,1.7,0.01,15,1,1047.0,0.0,0.54,,1.691542288557214,0.0,0.3244274809160305
447,435,16,2,0,2,0,895,3,2,54,15,100,3.0,278.0,139.0,1.39,85,1,1047.0,0.0,0.44,,92.66666666666667,0.0,0.2652671755725191
868,1065,9,2,0,2,0,329,3,2,54,15,40,476.0,36176.0,76.0,1.9,17,1,509.0,5446.51,57.88,,75.84067085953879,0.15055173176327502,70.93333333333334
871,2523,9,2,0,2,0,414,3,2,54,15,25,659.0,13180.0,20.0,0.8,83,1,206.0,2656.12,25.83,,19.96969696969697,0.20151126621652377,63.671497584541065
886,641,15,2,0,2,0,333,3,3,54,16,100,240.0,15.876800000000001,0.39,0.01,44,1,1047.0,0.0,0.02,,0.3899861945163401,0.0,0.01914715055030734
890,1271,15,2,0,2,0,333,3,3,54,16,100,213.0,15.876800000000001,0.39,0.01,44,1,14.0,360.0,0.02,,0.3899861945163401,61.38862177292052,0.142
